Etichette di riga;Media di count turtles;Dev. standard di count turtles2;Media di round storage;Dev. standard di round storage;Media di sum [max-psugar] of patches;Dev. standard di sum [max-psugar] of patches2
201;315,72;23,73595491;0;0;4622;0
202;316,74;23,19553249;0;0;4622;0
203;317,19;22,83435963;0;0;4622;0
204;317,86;23,34935381;0;0;4622;0
205;318,54;23,12828519;0;0;4622;0
206;319,74;23,16197685;0;0;4622;0
207;320,78;23,66200552;0;0;4622;0
208;321,42;23,19185681;0;0;4622;0
209;321,71;22,4054895;0;0;4622;0
210;322,39;22,257853;0;0;4622;0
211;323,46;21,35766605;0;0;4622;0
212;323,62;21,01936577;0;0;4622;0
213;324,86;21,52847304;0;0;4622;0
214;325,66;21,42509621;0;0;4622;0
215;326,19;21,41541737;0;0;4622;0
216;327,2;20,9906184;0;0;4622;0
217;328,32;20,79329729;0;0;4622;0
218;329,68;20,9404543;0;0;4622;0
219;330,72;20,52988952;0;0;4622;0
220;331,06;20,66315708;0;0;4622;0
221;331,85;20,52412968;0;0;4622;0
222;332,47;20,45218864;0;0;4622;0
223;333,25;20,09541633;0;0;4622;0
224;333,5;20,07435673;0;0;4622;0
225;333,88;20,0233601;0;0;4622;0
226;334,75;20,03299047;0;0;4622;0
227;335,21;20,28150125;0;0;4622;0
228;335,88;20,37590179;0;0;4622;0
229;336,17;19,67311399;0;0;4622;0
230;336,88;19,52169474;0;0;4622;0
231;337,94;19,64421934;0;0;4622;0
232;338,55;19,51035726;0;0;4622;0
233;339,21;19,66502048;0;0;4622;0
234;339,81;19,39993492;0;0;4622;0
235;340,79;19,2512862;0;0;4622;0
236;341,61;19,68637687;0;0;4622;0
237;341,96;19,42970755;0;0;4622;0
238;342,98;20,32413105;0;0;4622;0
239;343,86;20,22850274;0;0;4622;0
240;344,31;20,08853887;0;0;4622;0
241;344,89;19,29143579;0;0;4622;0
242;345,5;19,66666667;0;0;4622;0
243;345,71;19,73884802;0;0;4622;0
244;345,98;19,79846948;0;0;4622;0
245;346,52;18,68747758;0;0;4622;0
246;347,06;18,71412797;0;0;4622;0
247;347,46;18,67500896;0;0;4622;0
248;347,96;18,77399878;0;0;4622;0
249;348,4;18,77296573;0;0;4622;0
250;348,66;19,29841151;0;0;4622;0
251;348,78;19,27241185;0;0;4622;0
252;348,87;18,97348229;0;0;4622;0
253;348,86;18,93744087;0;0;4622;0
254;349,3;18,92595887;0;0;4622;0
255;349,34;18,98229904;0;0;4622;0
256;350,03;19,01591837;0;0;4622;0
257;350,64;19,01010895;0;0;4622;0
258;351,44;18,6592626;0;0;4622;0
259;352,34;18,63320594;0;0;4622;0
260;352,34;18,31553957;0;0;4622;0
261;352,65;18,58715479;0;0;4622;0
262;353,08;18,5704664;0;0;4622;0
263;352,86;18,50690289;0;0;4622;0
264;352,91;18,79130199;0;0;4622;0
265;353,22;18,91906206;0;0;4622;0
266;353,23;19,32071427;0;0;4622;0
267;353,54;18,97974465;0;0;4622;0
268;354,16;18,69895476;0;0;4622;0
269;354,9;18,24884111;0;0;4622;0
270;355,34;18,72297783;0;0;4622;0
271;356,62;19,28509133;0;0;4622;0
272;356,67;19,13326734;0;0;4622;0
273;357,05;18,48743772;0;0;4622;0
274;358,48;18,50387893;0;0;4622;0
275;358,62;18,51277473;0;0;4622;0
276;358,57;18,1827174;0;0;4622;0
277;358,87;18,64536393;0;0;4622;0
278;359,1;18,62305512;0;0;4622;0
279;359,88;18,90020576;0;0;4622;0
280;360,14;19,63094856;0;0;4622;0
281;359,99;19,63016386;0;0;4622;0
282;359,55;18,82689619;0;0;4622;0
283;359,58;18,85359864;0;0;4622;0
284;359,84;18,51055937;0;0;4622;0
285;359,97;18,91792747;0;0;4622;0
286;360,02;19,18594814;0;0;4622;0
287;360,62;19,15633714;0;0;4622;0
288;361,24;18,89049785;0;0;4622;0
289;361,77;18,70280863;0;0;4622;0
290;362,32;18,35886927;0;0;4622;0
291;362,92;18,36426042;0;0;4622;0
292;363,2;17,90547572;0;0;4622;0
293;362,9;17,56057338;0;0;4622;0
294;363,26;17,38083235;0;0;4622;0
295;363,02;17,77183108;0;0;4622;0
296;362,83;17,59020331;0;0;4622;0
297;363,33;17,41707916;0;0;4622;0
298;363,56;17,18956696;0;0;4622;0
299;363,35;16,85791784;0;0;4622;0
300;363,68;16,90130591;0;0;4622;0
